Entity,Code,Year,battery_electric_share,plugin_hybrid_share
Austria,AUT,2001,0,0
Austria,AUT,2002,0.000357791,0
Austria,AUT,2003,0,0
Austria,AUT,2004,0,0
Austria,AUT,2005,0,0
Austria,AUT,2006,0,0
Austria,AUT,2007,0,0
Austria,AUT,2008,0.000680976,0
Austria,AUT,2009,0.012216973,0
Austria,AUT,2010,0.034145092,0
Austria,AUT,2011,0.177737095,0
Austria,AUT,2012,0.184220708,0
Austria,AUT,2013,0.262980551,0
Austria,AUT,2014,0.462880541,0.103521716
Austria,AUT,2015,0.569104374,0.33413816
Austria,AUT,2016,1.025169597,0.512433102
Austria,AUT,2017,1.537699536,0.474357523
Austria,AUT,2018,1.983182239,0.659692495
Austria,AUT,2019,2.698845954,0.650953507
Belgium,BEL,2001,0.001023269,0
Belgium,BEL,2002,0.000855652,0
Belgium,BEL,2003,0,0
Belgium,BEL,2004,0,0
Belgium,BEL,2005,0,0
Belgium,BEL,2006,0,0
Belgium,BEL,2007,0,0
Belgium,BEL,2008,0,0
Belgium,BEL,2009,0,0
Belgium,BEL,2010,0.006590835,0
Belgium,BEL,2011,0.048409055,0
Belgium,BEL,2012,0.169701851,0
Belgium,BEL,2013,0.154507038,0
Belgium,BEL,2014,0.281816714,0.127759671
Belgium,BEL,2015,0.324308574,0.285191971
Belgium,BEL,2016,0.370700568,1.351759623
Belgium,BEL,2017,0.464909488,2.172870949
Belgium,BEL,2018,0.663716814,1.6491034
Belgium,BEL,2019,1.606718509,1.539082514
Denmark,DNK,2001,0.007282867,0
Denmark,DNK,2002,0.000891146,0
Denmark,DNK,2003,0.002057423,0
Denmark,DNK,2004,0.002462124,0
Denmark,DNK,2005,0.001349737,0
Denmark,DNK,2006,0.001274624,0
Denmark,DNK,2007,0.001228682,0
Denmark,DNK,2008,0.003318973,0
Denmark,DNK,2009,0.069665872,0
Denmark,DNK,2010,0.027397796,0
Denmark,DNK,2011,0.268814042,0
Denmark,DNK,2012,0.315605183,0
Denmark,DNK,2013,0.296794836,0
Denmark,DNK,2014,0.870586244,0.002115641
Denmark,DNK,2015,2.159227346,0.126814826
Denmark,DNK,2016,0.525674234,0.320871911
Denmark,DNK,2017,0.320504164,0.275489534
Denmark,DNK,2018,0.707850708,1.402466296
Denmark,DNK,2019,2.437808531,1.712553876
Europe,,2019,2.211368714,1.252664202
Europe,,2020,6.212287682,5.198907677
Finland,FIN,2001,0,0
Finland,FIN,2002,0,0
Finland,FIN,2003,0,0
Finland,FIN,2004,0,0
Finland,FIN,2005,0,0
Finland,FIN,2006,0,0
Finland,FIN,2007,0,0
Finland,FIN,2008,0.003595312,0
Finland,FIN,2009,0.001107898,0
Finland,FIN,2010,0.012569017,0
Finland,FIN,2011,0.023777632,0
Finland,FIN,2012,0.094346404,0
Finland,FIN,2013,0.211608515,0
Finland,FIN,2014,0.189121292,0.230520977
Finland,FIN,2015,0.22416375,0.382180819
Finland,FIN,2016,0.178932955,1.575114038
Finland,FIN,2017,0.409608091,2.11293721
